Requirement ID,Module,Feature,Description,Priority,API Coverage,FE Coverage,UI Coverage,Current Test Assets,Status,Notes
REQ-AUTH-001,auth,Valid login and session bootstrap,User can sign in with valid credentials and reach an authenticated session.,P0,"run_api_smoke.ps1 API-01..02; run_api_regression.ps1 AUTH-*","Frontend auth/login and auth utility coverage referenced in TEST_LOGIC_PLAN.md","run_ui_smoke.ps1 auth flow; run_ui_e2e.ps1 ADMIN-E2E-001","scripts/run_api_smoke.ps1; scripts/run_api_regression.ps1; scripts/run_ui_smoke.ps1; scripts/run_ui_e2e.ps1; TEST_LOGIC_PLAN.md",Covered,Cross-layer automation exists.
REQ-AUTH-002,auth,Invalid login rejection,Invalid credentials must be rejected without crash and without silent success.,P0,"run_api_smoke.ps1 API-03; run_api_regression.ps1 negative auth cases","Frontend login failure state referenced in TEST_LOGIC_PLAN.md","run_ui_smoke.ps1 login failure flow","scripts/run_api_smoke.ps1; scripts/run_api_regression.ps1; scripts/run_ui_smoke.ps1; TEST_LOGIC_PLAN.md",Covered,UI E2E currently focuses on successful admin login path.
REQ-ACCOUNT-001,account,Account info retrieval,Authenticated user can retrieve current account or profile information.,P0,run_api_smoke.ps1 API-02,FE auth or session helpers indirectly support account state,UI smoke organization or profile candidate routes only,"scripts/run_api_smoke.ps1; API_LIST.md; FEATURE_MAP.md",Partial,Core read path is covered but account settings screens are not directly automated.
REQ-ORG-001,organization,Organization list/detail/info,Authorized user can browse organization list detail and info routes and APIs.,P0,run_api_regression.ps1 ORG-*,"FE organization table rendering covered via TEST_LOGIC_PLAN.md","run_ui_smoke.ps1 organization route; run_ui_e2e.ps1 ADMIN-E2E-004","scripts/run_api_regression.ps1; scripts/run_ui_smoke.ps1; scripts/run_ui_e2e.ps1; TEST_LOGIC_PLAN.md",Covered,API + UI + FE component coverage exists.
REQ-ORG-002,organization,Organization search/filter/sort/paging,Organization page supports keyword search sort filters and pagination.,P1,run_api_regression.ps1 ORG-*,"FE organization filter/table interaction coverage referenced in TEST_LOGIC_PLAN.md",run_ui_e2e.ps1 ADMIN-E2E-005,"scripts/run_api_regression.ps1; scripts/run_ui_e2e.ps1; TEST_LOGIC_PLAN.md",Covered,Good candidate for future field-level SRS acceptance checks.
REQ-NOTI-001,notification,Notification list and unread count,User can open notifications and retrieve unread count or list.,P1,run_api_regression.ps1 NOTI-001..003,"FE notification template table coverage exists for admin surface only","run_ui_smoke.ps1 notification route; run_ui_e2e.ps1 ADMIN-E2E-006","scripts/run_api_regression.ps1; scripts/run_ui_smoke.ps1; scripts/run_ui_e2e.ps1; TEST_LOGIC_PLAN.md",Partial,Admin notification template coverage is stronger than end-user notification UI coverage.
REQ-POSTS-001,posts,Posts list and recommendation,User can access post list ids categories and recommendations.,P1,run_api_regression.ps1 POSTS-*,No direct FE source-level posts component coverage mapped in this repo,run_ui_smoke.ps1 posts flow,"scripts/run_api_regression.ps1; scripts/run_ui_smoke.ps1; docs/API_REGRESSION_PLAN.md",Partial,API coverage is stronger than UI or FE coverage.
REQ-NEWS-001,news,News list and detail,User can browse news list and open detail by slug.,P1,run_api_regression.ps1 NEWS-*,No direct FE source-level news component coverage mapped in this repo,run_ui_smoke.ps1 news flow,"scripts/run_api_regression.ps1; scripts/run_ui_smoke.ps1; docs/API_REGRESSION_PLAN.md",Partial,Detail coverage depends on slug seed inference.
REQ-CATADM-001,category-admin,Category admin list/selection/detail,Admin user can view category admin list selection generate-code and detail.,P1,run_api_regression.ps1 CATADM-*,"FE admin route-guard coverage referenced in TEST_LOGIC_PLAN.md",No dedicated Playwright admin category flow yet,"scripts/run_api_regression.ps1; TEST_LOGIC_PLAN.md; ROUTES.md",Blocked,Positive execution depends on admin role and UI category admin navigation is not added yet.
REQ-MEMBER-001,member,Member list/detail,Admin user can list members page selections and view details.,P1,run_api_regression.ps1 MEMBER-*,No direct FE member page automation mapped,No direct UI automation mapped,"scripts/run_api_regression.ps1; ROUTES.md; API_LIST.md",Blocked,API automation is role-sensitive and can skip for non-admin tokens.
